,anno,cod_estrato,gini_educ,P10_x,P90_x,P10Sup_x,educxcapita,elementos_x,gini,P10_y,P90_y,P10Sup_y,ingxcapita,elementos_y
0,2011.0,1.0,0.19943881041297395,0.06399715337358282,0.8335731645020746,0.16642683549792536,7.824587145379359,110657.0,0.46334513952008904,0.006791206049053456,0.7027655762845041,0.2972344237154959,395147.69409166795,81609.0
1,2011.0,2.0,0.20670868711972779,0.0550447614169005,0.8348829481428113,0.16511705185718872,9.083919466603144,159729.0,0.45524603240790174,0.006284243241693806,0.6838447563702592,0.3161552436297408,608419.8424986139,113831.0
2,2011.0,3.0,0.20501145142073673,0.05024771916258946,0.8492689700190021,0.15073102998099785,9.950826727089261,137189.0,0.5045790873841207,0.005367676945701471,0.6299266348888458,0.3700733651111542,853156.2545086041,97155.0
3,2011.0,4.0,0.2140571197682012,0.05080169101212924,0.8476911789160101,0.1523088210839899,9.848283941203077,77081.0,0.6010479603973113,0.0034323436246941844,0.5411440636322743,0.4588559363677257,1088506.103242786,54033.0
4,2011.0,5.0,0.19953612874067506,0.05091466683100341,0.847280011114437,0.15271998888556304,9.820477916754756,70788.0,0.5966211256032423,0.0038435125461625387,0.5274482785987399,0.4725517214012601,1015310.8827732481,47877.0
5,2011.0,6.0,0.17074685468011952,0.04502173103050088,0.8649741551224468,0.1350258448775532,11.108789441090762,66645.0,0.6106969272176568,0.003738384434148318,0.5141677942024413,0.4858322057975587,1488019.2768984444,46384.0
6,2012.0,1.0,0.2032317218700117,0.06292773542237926,0.8296247362090415,0.17037526379095846,7.946632107632716,111628.0,0.463564614292003,0.0064169456101716305,0.7039587005982222,0.2960412994017778,423689.7967915974,82195.0
7,2012.0,2.0,0.20743005317422125,0.05441335924112038,0.836764285493179,0.16323571450682095,9.189000934902154,159342.0,0.45867335111850027,0.00581741372625165,0.6798818991022901,0.32011810089770987,655973.3456148828,114632.0
8,2012.0,3.0,0.20469905604393868,0.05004542956250233,0.849894868112659,0.15010513188734098,9.992055243857312,134558.0,0.4978171531163603,0.005140866529541837,0.6412685806356875,0.3587314193643125,873869.2794055874,96233.0
9,2012.0,4.0,0.2127244397525233,0.050117869924081265,0.849662508414086,0.15033749158591403,9.976641058790356,77387.0,0.6059689416379879,0.0035283962698258943,0.5359537277450717,0.46404627225492834,1166341.1347314708,54573.0
10,2012.0,5.0,0.19720101684017832,0.05065292990009588,0.8481221833786385,0.15187781662136146,9.875210688050256,66773.0,0.5895408637766282,0.00385707202482753,0.5373275916915545,0.46267240830844547,1016656.697289957,45498.0
11,2012.0,6.0,0.1670527942880653,0.0445805852733623,0.8662884070232844,0.13371159297671564,11.216410738974377,65309.0,0.5852061456741862,0.003987571121025548,0.5464986234432896,0.4535013765567104,1442607.949390651,46072.0
12,2013.0,1.0,0.2060925111281069,0.06164194392671039,0.8266697701358134,0.17333022986418656,8.111782656201058,112319.0,0.46462456755702763,0.0060445407618044565,0.7035037767312735,0.2964962232687265,446579.46404305415,83468.0
13,2013.0,2.0,0.20763126140108568,0.05374476375618308,0.8388260106608605,0.1611739893391395,9.306231231590704,156883.0,0.450795915608434,0.00589284092864367,0.6889600437618036,0.31103995623819636,676638.3182854091,113696.0
14,2013.0,3.0,0.20239057304178598,0.04903146597702426,0.8529210974714561,0.14707890252854394,10.197842586757424,132129.0,0.5039185279582055,0.0050179828644112195,0.6335957998165436,0.36640420018345643,952047.6648228345,94696.0
15,2013.0,4.0,0.21308586777222238,0.049896030877934774,0.8504379646271394,0.1495620353728606,10.027777163264616,77307.0,0.5912950427262627,0.0034790971964501877,0.5553251850539511,0.4446748149460489,1151396.3100756658,54378.0
16,2013.0,5.0,0.1945266363523117,0.04993286000144571,0.85023912536874,0.14976087463125998,10.014970191701694,64241.0,0.6003052052149839,0.003662613604337074,0.5212877360972803,0.4787122639027197,1106018.6161726546,44016.0
17,2013.0,6.0,0.16079003714279416,0.04377086795964351,0.8688592344141839,0.1311407655858161,11.436445143857744,65618.0,0.5988059802387423,0.0037221035801193294,0.5281920096341385,0.4718079903658615,1598413.7201016413,46285.0
18,2014.0,1.0,0.20735364908072085,0.0605348708703275,0.8242556013911487,0.17574439860885127,8.260376035275304,112305.0,0.4564270221291884,0.007240657053195511,0.7092502683597124,0.2907497316402876,480835.27684512065,85398.0
19,2014.0,2.0,0.2090508134440131,0.05364017715775754,0.8390867432893903,0.16091325671060974,9.321402611500135,153873.0,0.44129114485532994,0.006366768518824832,0.6989370475820114,0.30106295241798864,700809.6845621639,113109.0
20,2014.0,3.0,0.2005213831951933,0.04862241445279546,0.854134976509397,0.14586502349060304,10.283351446127247,134729.0,0.5095048946112468,0.005120228744678123,0.6237455144694981,0.3762544855305019,1024093.3253741392,97411.0
21,2014.0,4.0,0.2093973177377051,0.0493615197701791,0.8519223908407543,0.14807760915924573,10.129361073861483,76125.0,0.5864064865447267,0.0037410955382954077,0.5575924972816497,0.4424075027183503,1173759.8204339151,54196.0
22,2014.0,5.0,0.1957349698630635,0.048836169877762944,0.8535130119554765,0.14648698804452354,10.239736557655117,65711.0,0.5903269836856191,0.003866465660598794,0.5388279717388291,0.4611720282611709,1173734.2001263013,46144.0
23,2014.0,6.0,0.15761936345961036,0.04338166109610424,0.8699594890594677,0.13004051094053226,11.531832508037342,62839.0,0.6019397355902417,0.0040530258027335585,0.5212896460217282,0.4787103539782718,1740100.32221419,44642.0
